Journal,Comment,Quartile 2024,Quartile from mean JIF,JCR abbreviation,Publisher,ISSN,eISSN,Category,Edition,2016 JIF,2017 JIF,2018 JIF,2019 JIF,2020 JIF,Mean JIF,N papers,N papers OA,% papers OA,N papers policy cites,% papers policy cites,N countries,N sources,% multiple PC
GLOBAL CHANGE BIOLOGY,,Q1,Q1,GLOBAL CHANGE BIOL,WILEY,1354-1013,1365-2486,BIODIVERSITY CONSERVATION,SCIE,8.502,8.997,8.88,8.555,10.863,9.16,2271,1265,55.7,1160,51.1,57,376,72
Conservation Letters,,Q1,Q1,CONSERV LETT,WILEY,1755-263X,1755-263X,BIODIVERSITY CONSERVATION,SCIE,7.02,7.279,7.397,6.766,8.105,7.31,463,459,99.1,296,63.9,41,264,81.5
JOURNAL OF APPLIED ECOLOGY,,Q1,Q1,J APPL ECOL,WILEY,0021-8901,1365-2664,BIODIVERSITY CONSERVATION,SCIE,5.301,5.742,5.782,5.84,6.528,5.84,1229,1162,94.5,689,56.1,44,288,74
CONSERVATION BIOLOGY,,Q1,Q1,CONSERV BIOL,WILEY,0888-8892,1523-1739,BIODIVERSITY CONSERVATION,SCIE,4.842,5.89,6.194,5.405,6.56,5.78,933,427,45.8,395,42.3,38,240,72
ECOGRAPHY,,Q1,Q1,ECOGRAPHY,WILEY,0906-7590,1600-0587,BIODIVERSITY CONSERVATION,SCIE,4.902,4.52,5.946,6.455,5.994,5.56,831,548,65.9,219,26.4,32,139,56.5
BIOLOGICAL CONSERVATION,,Q1,Q1,BIOL CONSERV,ELSEVIER SCI LTD,0006-3207,1873-2917,BIODIVERSITY CONSERVATION,SCIE,4.022,4.661,4.451,4.711,5.991,4.77,2082,843,40.5,1044,50.1,55,353,69
DIVERSITY AND DISTRIBUTIONS,,Q1,Q1,DIVERS DISTRIB,WILEY,1366-9516,1472-4642,BIODIVERSITY CONSERVATION,SCIE,4.391,4.614,4.092,3.993,5.139,4.45,713,685,96.1,292,41,34,144,62.5
Perspectives in Ecology and Conservation,"2017 is the earliest year in range in WoSCC, ditto for Overton",Q1,Q1,PERSPECT ECOL CONSER,ELSEVIER SCI LTD,2530-0644,2530-0644,BIODIVERSITY CONSERVATION,SCIE,,,2.565,3.563,4.677,3.6,101,98,97,30,29.7,18,52,68.5
BULLETIN OF THE AMERICAN MUSEUM OF NATURAL HISTORY,,Q1,Q1,B AM MUS NAT HIST,AMER MUSEUM NATURAL HISTORY,0003-0090,1937-3546,BIODIVERSITY CONSERVATION,SCIE,4.562,2.938,2.8,2.5,4.65,3.49,60,7,11.7,1,1.7,4,4,100
Conservation Science and Practice,"WoSCC 2019-2020, ditto Overton",Q2,Q1,CONSERV SCI PRACT,WILEY,N/A,2578-4854,BIODIVERSITY CONSERVATION,SCIE,,,,,3.233,3.2,188,187,99.5,59,31.4,18,57,51.5
