"flask","day","treatment","flask_re","ecoli","log_ecoli"
"1",0,"PAW",-0.168142693965664,0.000294698479762556,-8.12955782682723
"2",0,"PAW",-0.069053246844984,9.489854379083e-05,-9.26270219713599
"3",0,"PAW",0.467612494244737,0.000616131633230759,-7.3920499269496
"4",0,"PAW",0.0211525174273728,0.000219187384192556,-8.42558355841278
"5",0,"PAW",0.0387863205482839,0.000165677752807208,-8.70546590442132
"6",0,"PAW",0.514519496064984,0.000407769565628506,-7.80480833324035
"7",0,"PAW",0.138274861796761,0.000186875538104774,-8.58506773433304
"8",0,"PAW",-0.37951837038196,0.00012917992512164,-8.95430435700371
"9",0,"Control",-0.206055855568058,0.000137456162320763,-8.89220551117675
"10",0,"Control",-0.133698591029987,0.000232515696029643,-8.36655282541063
"11",0,"Control",0.367224539231838,0.000265056362086765,-8.23556806747288
"12",0,"Control",0.107944148117209,0.000131517952841815,-8.93636719215304
"13",0,"Control",0.120231435178216,0.000253480871102528,-8.28022219694185
"14",0,"Control",0.0332048147835359,0.000444910574281969,-7.71763725266226
"15",0,"Control",-0.166752340426222,0.000172559889937259,-8.6647661937066
"16",0,"Control",0.536073941040923,0.000629689152029153,-7.37028426982274
"1",7,"PAW",-0.168142693965664,0.394301183958194,-0.930640235419335
"2",7,"PAW",-0.069053246844984,0.431690287448988,-0.840046875054646
"3",7,"PAW",0.467612494244737,0.717733221403361,-0.331657336912703
"4",7,"PAW",0.0211525174273728,0.429734489407885,-0.844587727498765
"5",7,"PAW",0.0387863205482839,0.40888749887195,-0.894315224659105
"6",7,"PAW",0.514519496064984,0.483600207484727,-0.72649673119956
"7",7,"PAW",0.138274861796761,0.29382620025226,-1.22476684204938
"8",7,"PAW",-0.37951837038196,0.168669475917466,-1.77981424286433
"9",7,"Control",-0.206055855568058,0.00776931771213508,-4.85757292899418
"10",7,"Control",-0.133698591029987,0.00490364599424226,-5.31777627009857
"11",7,"Control",0.367224539231838,0.0101691713244685,-4.58839455459468
"12",7,"Control",0.107944148117209,0.00882256777873504,-4.7304423199581
"13",7,"Control",0.120231435178216,0.0255229320674044,-3.66817793418186
"14",7,"Control",0.0332048147835359,0.00671702112269451,-5.00311050804038
"15",7,"Control",-0.166752340426222,0.00857075522263855,-4.75939942625998
"16",7,"Control",0.536073941040923,0.015998088923564,-4.1352860061534
"1",14,"PAW",-0.168142693965664,408.323394178167,6.01205949322631
"2",14,"PAW",-0.069053246844984,292.797676891783,5.67948184794292
"3",14,"PAW",0.467612494244737,592.583255805907,6.38449137926593
"4",14,"PAW",0.0211525174273728,329.342672930001,5.79709876777684
"5",14,"PAW",0.0387863205482839,332.809654993991,5.80757071992644
"6",14,"PAW",0.514519496064984,1084.67997233818,6.98904026609603
"7",14,"PAW",0.138274861796761,335.495652142497,5.81560899699095
"8",14,"PAW",-0.37951837038196,477.677854083734,6.16893655985663
"9",14,"Control",-0.206055855568058,0.11686728981968,-2.14671626300665
"10",14,"Control",-0.133698591029987,0.377545114974524,-0.974065207567503
"11",14,"Control",0.367224539231838,1.1178821434455,0.111435951864396
"12",14,"Control",0.107944148117209,0.161323630488101,-1.82434280434487
"13",14,"Control",0.120231435178216,0.477487752258557,-0.739216769110612
"14",14,"Control",0.0332048147835359,0.270296898002522,-1.30823430189388
"15",14,"Control",-0.166752340426222,0.114960717954598,-2.16316479197515
"16",14,"Control",0.536073941040923,0.238926272518837,-1.43160025782614
"1",21,"PAW",-0.168142693965664,177453.045555364,12.0864613208204
"2",21,"PAW",-0.069053246844984,389730.479844864,12.873210701881
"3",21,"PAW",0.467612494244737,716559.819738026,13.4822170115833
"4",21,"PAW",0.0211525174273728,376304.621833381,12.8381542588164
"5",21,"PAW",0.0387863205482839,591501.608948075,13.290419682512
"6",21,"PAW",0.514519496064984,1672887.0544523,14.3300614669024
"7",21,"PAW",0.138274861796761,322306.716476066,12.6832589067923
"8",21,"PAW",-0.37951837038196,77373.2830549983,11.2563968198215
"9",21,"Control",-0.206055855568058,9.48493795449126,2.24970506193082
"10",21,"Control",-0.133698591029987,5.21621859791326,1.65177273285533
"11",21,"Control",0.367224539231838,13.4255265864242,2.59715786394033
"12",21,"Control",0.107944148117209,9.55826388472929,2.2574061085559
"13",21,"Control",0.120231435178216,14.7521056689255,2.69138582981227
"14",21,"Control",0.0332048147835359,8.47097034567324,2.13664506475544
"15",21,"Control",-0.166752340426222,13.6180208883888,2.6113939809404
"16",21,"Control",0.536073941040923,13.9914039879837,2.63844314018123
"1",28,"PAW",-0.168142693965664,333621951.121528,19.6255190270081
"2",28,"PAW",-0.069053246844984,445348011.026738,19.914366581742
"3",28,"PAW",0.467612494244737,521939430.908548,20.0730621063723
"4",28,"PAW",0.0211525174273728,554801205.75129,20.1341204197106
"5",28,"PAW",0.0387863205482839,366431686.505657,19.7193226676627
"6",28,"PAW",0.514519496064984,777185878.854356,20.4711901060466
"7",28,"PAW",0.138274861796761,782085006.366513,20.4774739963953
"8",28,"PAW",-0.37951837038196,334735760.213022,19.6288520030588
"9",28,"Control",-0.206055855568058,344.479573188342,5.84203479461256
"10",28,"Control",-0.133698591029987,343.93177206662,5.84044330068637
"11",28,"Control",0.367224539231838,423.771295981245,6.04919391343481
"12",28,"Control",0.107944148117209,376.24867441361,5.93025029290368
"13",28,"Control",0.120231435178216,362.439453795699,5.8928574363328
"14",28,"Control",0.0332048147835359,979.547168890464,6.88709039231544
"15",28,"Control",-0.166752340426222,190.993470091804,5.25223923946118
"16",28,"Control",0.536073941040923,323.026846390052,5.77773543552741
