"Group","Native_count"
"Invaded",11
"Invaded",12
"Invaded",18
"Invaded",13
"Invaded",13
"Invaded",18
"Invaded",14
"Invaded",9
"Invaded",11
"Invaded",12
"Invaded",17
"Invaded",14
"Invaded",14
"Invaded",13
"Invaded",11
"Invaded",18
"Invaded",14
"Invaded",7
"Invaded",15
"Invaded",12
"Invaded",10
"Invaded",12
"Uninvaded",13
"Uninvaded",14
"Uninvaded",14
"Uninvaded",11
"Uninvaded",18
"Uninvaded",16
"Uninvaded",12
"Uninvaded",19
"Uninvaded",17
"Uninvaded",15
"Uninvaded",18
"Uninvaded",18
"Uninvaded",18
"Uninvaded",18
"Uninvaded",17
"Uninvaded",16
"Uninvaded",15
"Uninvaded",15
"Uninvaded",14
"Uninvaded",15
"Uninvaded",12
"Uninvaded",22
