sample_ID,month,block,shelter,treatment,trap,Blattodea,Coleoptera,Poduromorpha,Symphypleona,Entomobryomorpha,Diplura,Diptera,Hemiptera,Hymenoptera,Lepidoptera,Orthoptera,Thysanoptera,Acari,Araneae,Crustacea,Diplopoda,Chilopoda,Opiliones,Pseudoscorpiones,Scorpiones,Annelida,unidentified
1C-A-J23,January,1,1C,Control,A,1,4,17,19,69,0,7,18,145,0,0,1,30,3,0,3,0,0,1,0,1,0
1C-B-J23,January,1,1C,Control,B,0,3,32,14,27,0,2,6,127,0,0,0,13,4,0,0,0,0,0,0,0,0
1C-C-J23,January,1,1C,Control,C,2,3,3,11,48,0,3,6,625,0,0,0,49,1,0,1,0,0,0,0,0,1
1D-A-J23,January,1,1D,Drought,A,0,2,42,10,11,0,11,13,71,0,0,0,29,0,0,0,1,0,2,0,0,0
1D-B-J23,January,1,1D,Drought,B,1,9,182,5,40,1,11,39,108,0,0,0,74,4,1,0,0,0,0,0,0,0
1D-C-J23,January,1,1D,Drought,C,1,7,50,15,54,0,15,22,71,0,0,3,111,3,0,0,0,0,3,0,0,4
2C-A-J23,January,2,2C,Control,A,1,0,447,27,92,0,11,20,783,0,0,0,24,0,1,2,0,0,0,0,0,0
2C-B-J23,January,2,2C,Control,B,1,1,18,25,45,0,7,30,176,0,2,1,22,1,0,1,0,0,0,0,0,1
2C-C-J23,January,2,2C,Control,C,1,3,66,24,59,0,4,14,266,0,0,0,20,1,0,1,0,0,0,0,0,0
2D-A-J23,January,2,2D,Drought,A,1,9,65,25,47,0,7,21,965,0,0,1,75,1,0,0,0,0,0,0,0,0
2D-B-J23,January,2,2D,Drought,B,0,8,181,5,110,0,7,28,853,0,0,0,46,1,0,0,1,0,0,0,0,0
2D-C-J23,January,2,2D,Drought,C,1,3,58,5,72,1,5,11,1184,0,0,0,64,1,0,2,0,0,0,0,0,0
3C-A-J23,January,3,3C,Control,A,0,2,19,61,57,0,7,14,136,0,0,0,135,5,0,0,0,0,0,0,1,0
3C-B-J23,January,3,3C,Control,B,3,7,74,13,38,0,6,6,212,0,0,1,13,1,0,1,0,1,0,0,2,0
3C-C-J23,January,3,3C,Control,C,0,3,13,33,160,0,4,23,170,0,0,1,35,0,0,0,0,0,0,0,0,3
3D-A-J23,January,3,3D,Drought,A,3,4,80,13,21,0,8,12,218,0,0,0,33,6,0,0,0,0,0,0,0,0
3D-B-J23,January,3,3D,Drought,B,1,0,66,7,47,0,7,10,122,0,0,0,47,1,0,2,0,1,0,0,0,0
3D-C-J23,January,3,3D,Drought,C,0,2,105,11,30,0,6,13,72,0,0,0,12,2,0,0,0,1,0,0,0,2
4C-A-J23,January,4,4C,Control,A,0,5,225,19,39,0,18,7,8,0,4,0,4,1,0,0,0,0,0,0,5,1
4C-B-J23,January,4,4C,Control,B,0,1,13,5,33,0,20,32,22,0,10,0,13,1,0,1,0,0,0,0,1,4
4C-C-J23,January,4,4C,Control,C,0,1,585,17,35,0,26,20,16,0,7,3,12,1,0,0,0,0,0,0,0,6
4D-A-J23,January,4,4D,Drought,A,3,3,144,4,39,0,10,16,27,1,20,2,26,2,0,0,0,0,0,0,0,0
4D-B-J23,January,4,4D,Drought,B,0,1,277,9,48,0,16,17,44,0,13,0,32,3,0,0,0,0,0,0,0,0
4D-C-J23,January,4,4D,Drought,C,1,2,166,11,8,0,12,12,17,0,6,0,22,3,0,1,0,0,0,0,0,0
5C-A-J23,January,5,5C,Control,A,0,2,40,13,20,1,7,13,8,0,11,0,11,3,0,0,0,0,0,0,1,1
5C-B-J23,January,5,5C,Control,B,1,2,3,5,8,0,2,15,11,0,3,0,11,0,1,1,0,0,0,0,0,0
5C-C-J23,January,5,5C,Control,C,1,1,105,53,69,0,11,15,21,0,1,0,85,1,2,1,0,0,0,0,3,7
5D-A-J23,January,5,5D,Drought,A,0,3,44,11,101,2,47,19,15,0,86,2,28,3,0,0,0,2,0,0,2,0
5D-B-J23,January,5,5D,Drought,B,0,1,332,15,56,1,11,13,9,0,12,3,46,1,0,0,0,0,0,0,0,0
5D-C-J23,January,5,5D,Drought,C,0,2,301,26,42,0,16,9,12,0,15,0,61,1,0,0,0,0,0,0,0,1
1C-A-M23,March,1,1C,Control,A,1,0,27,3,16,1,0,0,31,0,2,0,46,2,0,0,0,0,0,0,0,1
1C-B-M23,March,1,1C,Control,B,0,3,146,8,29,0,0,26,70,0,1,0,16,6,0,2,0,0,0,0,0,1
1C-C-M23,March,1,1C,Control,C,2,4,9,2,16,0,0,8,25,0,0,3,23,1,0,0,0,0,0,0,0,8
1D-A-M23,March,1,1D,Drought,A,0,1,60,3,10,0,0,0,16,0,0,0,10,0,0,0,0,1,0,0,0,1
1D-B-M23,March,1,1D,Drought,B,0,0,12,0,3,0,0,19,21,0,1,0,21,0,0,1,0,0,0,0,0,0
1D-C-M23,March,1,1D,Drought,C,0,1,10,0,9,0,1,12,15,0,0,0,16,1,0,1,0,0,0,0,0,5
2C-A-M23,March,2,2C,Control,A,0,5,68,0,23,0,0,6,43,0,1,0,12,1,1,0,0,0,0,0,0,0
2C-B-M23,March,2,2C,Control,B,0,2,18,24,18,0,3,4,12,0,0,0,39,2,0,1,0,0,0,0,0,0
2C-C-M23,March,2,2C,Control,C,0,3,335,24,33,0,5,8,60,0,0,1,41,1,1,0,0,0,0,0,0,0
2D-A-M23,March,2,2D,Drought,A,2,11,81,11,57,0,8,13,233,0,0,0,23,1,0,2,0,0,0,0,0,3
2D-B-M23,March,2,2D,Drought,B,1,1,124,8,10,0,3,22,88,0,0,1,53,1,1,2,0,2,0,0,0,0
2D-C-M23,March,2,2D,Drought,C,0,1,79,2,24,0,3,4,314,0,1,0,11,1,0,0,0,0,0,0,0,4
3C-A-M23,March,3,3C,Control,A,0,1,129,12,125,0,2,9,226,0,0,0,36,2,0,0,0,0,0,0,0,9
3C-B-M23,March,3,3C,Control,B,2,2,219,10,48,0,7,7,72,0,0,0,50,3,0,0,0,1,0,0,0,6
3C-C-M23,March,3,3C,Control,C,0,2,40,6,23,0,2,0,23,0,0,0,9,1,0,0,0,0,0,0,0,12
3D-A-M23,March,3,3D,Drought,A,0,0,40,1,13,0,2,1,26,0,0,1,18,2,0,0,0,0,0,0,3,2
3D-B-M23,March,3,3D,Drought,B,0,0,12,4,7,0,2,4,50,0,0,0,19,0,0,0,0,0,0,0,0,1
3D-C-M23,March,3,3D,Drought,C,0,0,28,1,11,0,0,2,29,0,0,0,32,1,0,0,0,0,0,0,0,2
4C-A-M23,March,4,4C,Control,A,0,1,34,3,9,0,4,3,1,0,0,0,10,2,1,0,0,0,0,0,0,0
4C-B-M23,March,4,4C,Control,B,0,1,123,5,16,0,5,5,4,0,0,0,5,1,0,0,0,0,2,0,0,0
4C-C-M23,March,4,4C,Control,C,0,8,144,1,4,0,6,1,12,0,4,0,8,3,0,0,0,0,0,0,0,1
4D-A-M23,March,4,4D,Drought,A,0,0,2,0,9,5,0,4,5,0,12,2,5,0,0,0,0,0,0,0,0,1
4D-B-M23,March,4,4D,Drought,B,0,1,226,2,9,0,1,6,7,0,1,0,6,4,0,0,0,0,0,0,0,0
4D-C-M23,March,4,4D,Drought,C,0,2,139,2,20,0,3,1,13,0,24,0,7,1,0,0,0,0,0,0,0,0
5C-A-M23,March,5,5C,Control,A,0,0,3,2,17,0,5,8,2,0,1,0,13,1,0,1,0,0,0,0,0,0
5C-B-M23,March,5,5C,Control,B,0,0,2,2,13,0,2,2,1,0,1,1,14,0,0,0,0,0,0,0,0,0
5C-C-M23,March,5,5C,Control,C,0,0,23,3,13,0,0,6,8,0,0,1,29,1,0,0,0,1,0,0,1,1
5D-A-M23,March,5,5D,Drought,A,0,0,34,2,27,0,2,0,2,0,3,0,18,0,0,0,0,0,0,0,0,0
5D-B-M23,March,5,5D,Drought,B,0,0,285,3,28,0,3,1,5,0,7,0,8,0,0,0,0,0,0,0,0,0
5D-C-M23,March,5,5D,Drought,C,0,0,90,5,20,0,3,2,3,0,8,0,22,3,0,0,0,0,0,0,0,1
1C-A-A23,April,1,1C,Control,A,1,1,10,2,16,1,0,1,1,0,0,0,20,2,0,0,0,0,0,0,1,0
1C-B-A23,April,1,1C,Control,B,0,2,15,12,26,0,0,2,17,0,0,0,36,1,0,0,0,2,0,0,0,0
1C-C-A23,April,1,1C,Control,C,0,2,7,6,8,0,0,0,2,0,0,0,31,1,0,0,0,0,0,0,0,0
1D-A-A23,April,1,1D,Drought,A,0,0,0,2,11,0,0,1,1,0,0,0,10,0,0,0,0,1,1,0,0,0
1D-B-A23,April,1,1D,Drought,B,0,1,6,4,28,0,2,7,3,0,2,0,17,1,0,0,0,2,0,0,0,0
1D-C-A23,April,1,1D,Drought,C,0,1,2,3,11,0,1,3,0,0,1,0,17,1,1,0,0,0,0,0,0,0
2C-A-A23,April,2,2C,Control,A,0,8,4,6,29,0,6,60,253,0,4,0,23,0,0,1,0,0,1,0,0,0
2C-B-A23,April,2,2C,Control,B,1,0,4,9,22,0,0,2,12,0,0,0,8,1,0,1,0,0,0,0,1,0
2C-C-A23,April,2,2C,Control,C,0,0,3,1,6,0,0,1,7,0,4,0,8,0,0,0,0,0,1,0,0,0
2D-A-A23,April,2,2D,Drought,A,0,2,1,6,9,0,2,4,63,0,3,0,27,2,0,0,0,0,0,0,0,0
2D-B-A23,April,2,2D,Drought,B,0,2,16,7,9,0,5,7,74,0,2,0,39,0,0,0,0,0,0,0,0,0
2D-C-A23,April,2,2D,Drought,C,0,0,2,22,5,0,0,8,51,0,5,0,24,1,0,0,0,0,0,0,0,0
3C-A-A23,April,3,3C,Control,A,0,2,3,5,39,0,3,5,120,0,2,0,24,4,0,0,1,0,0,0,0,0
3C-B-A23,April,3,3C,Control,B,0,1,10,2,11,0,3,2,31,0,1,0,3,0,0,0,0,1,0,0,0,0
3C-C-A23,April,3,3C,Control,C,0,1,7,5,16,0,1,9,41,0,0,0,4,1,0,0,0,0,0,0,0,0
3D-A-A23,April,3,3D,Drought,A,0,5,9,3,23,0,2,9,161,0,0,0,28,0,0,0,0,1,0,0,0,0
3D-B-A23,April,3,3D,Drought,B,0,0,3,2,13,0,1,0,15,0,2,1,6,1,0,0,0,0,0,0,0,0
3D-C-A23,April,3,3D,Drought,C,0,0,0,4,15,0,3,1,3,0,0,0,8,1,0,0,0,0,0,0,0,1
4C-A-A23,April,4,4C,Control,A,0,0,1,4,8,0,1,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0
4C-B-A23,April,4,4C,Control,B,0,1,3,3,4,0,2,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0
4C-C-A23,April,4,4C,Control,C,1,1,6,5,0,0,1,0,2,0,3,0,8,1,0,0,0,0,1,0,0,0
4D-A-A23,April,4,4D,Drought,A,1,0,1,1,9,0,2,0,0,0,5,0,7,0,0,0,0,0,0,0,0,0
4D-B-A23,April,4,4D,Drought,B,0,0,3,6,17,0,1,1,3,0,2,0,6,0,0,0,0,0,0,0,0,0
4D-C-A23,April,4,4D,Drought,C,0,0,1,2,22,0,0,2,4,0,8,0,12,1,0,0,0,1,0,0,0,0
5C-A-A23,April,5,5C,Control,A,0,0,2,7,11,0,0,2,0,0,1,0,4,0,0,1,0,0,0,0,0,0
5C-B-A23,April,5,5C,Control,B,0,0,4,0,21,0,0,1,0,0,2,0,18,0,0,0,0,1,0,0,0,0
5C-C-A23,April,5,5C,Control,C,0,1,6,7,18,0,1,3,1,0,7,0,27,1,0,0,0,0,1,0,0,0
5D-A-A23,April,5,5D,Drought,A,0,0,0,2,22,0,0,2,1,0,20,0,14,0,0,0,0,0,0,0,0,0
5D-B-A23,April,5,5D,Drought,B,0,0,2,11,15,0,0,1,0,0,5,0,9,0,0,0,0,1,0,0,0,0
5D-C-A23,April,5,5D,Drought,C,0,0,1,5,10,0,1,2,0,0,4,0,8,0,0,0,0,0,0,0,0,0
