Author count,Paper type,Times cited,180 days usage,Since 2013 usage,Cited in policy,N policy cites,N of pages,Simple OA,.gov,.edu,.org,.csiro,anygov
2,Review,22,0,4,N,0,52,N,,,,,
4,Review,2,0,0,N,0,54,N,,,,,
5,Review,51,0,12,N,0,134,N,,,,,
5,Review,5,0,9,N,0,67,N,,,,,
2,Review,116,3,123,Y,2,10,N,,,,,
5,Review,30,1,18,Y,1,12,N,,,,,
2,Review,5,0,5,N,0,12,N,,,,,
3,Review,25,1,83,N,0,9,N,0,0,0,0,0
2,Review,97,2,72,N,0,8,N,0,0,0,0,0
3,Review,9,0,13,N,0,3,N,0,0,0,0,0
5,Review,37,0,38,Y,2,16,N,0,0,0,0,0
9,Review,116,1,116,N,0,15,N,0,1,0,0,0
2,Review,178,25,322,Y,13,18,N,0,0,0,0,0
1,Review,7,0,19,N,0,4,N,0,0,0,0,0
5,Review,7,1,28,N,0,13,N,0,0,0,0,0
2,Review,19,0,5,N,0,14,N,0,0,0,0,0
12,Review,48,9,188,Y,1,16,N,0,0,0,0,0
11,Review,27,1,35,Y,2,11,N,0,0,0,0,0
5,Review,12,3,33,N,0,17,N,0,1,0,0,0
6,Review,3,2,41,Y,2,14,N,0,0,0,0,0
9,Review,78,9,112,N,0,26,N,0,0,0,0,0
3,Review,5,0,6,N,0,14,N,0,1,0,0,0
5,Review,49,0,65,N,0,13,N,0,0,0,0,0
5,Review,291,7,294,Y,18,16,N,0,0,0,0,0
6,Review,185,9,288,Y,8,22,N,0,0,0,0,0
6,Review,201,12,316,Y,5,11,N,0,0,0,0,0
3,Review,19,0,27,Y,4,6,N,0,0,0,0,0
1,Review,37,4,101,Y,1,10,N,0,0,0,0,0
1,Review,20,1,152,N,0,16,N,0,1,0,0,0
4,Review,17,1,4,N,0,38,N,0,0,0,0,0
4,Review,23,1,6,N,0,30,N,0,0,0,0,0
32,Review,4,0,15,N,0,20,N,0,0,0,0,0
17,Review,52,1,69,N,0,28,N,0,0,0,0,0
