id,date_time,air_temp,RH,logger_ID,site,location
1,1/06/2023 8:34,11.91,76.71,21333838,MAM,EXT
1,1/06/2023 10:04,13.59,69.3,21333838,MAM,EXT
1,1/06/2023 11:34,15.51,61.21,21333838,MAM,EXT
1,1/06/2023 13:04,15.61,60.35,21333838,MAM,EXT
1,1/06/2023 14:34,14.37,69.29,21333838,MAM,EXT
1,1/06/2023 16:04,12.52,75.14,21333838,MAM,EXT
1,1/06/2023 17:34,8.74,86.69,21333838,MAM,EXT
1,1/06/2023 19:04,7.27,89.3,21333838,MAM,EXT
1,1/06/2023 20:34,5.78,92.31,21333838,MAM,EXT
1,1/06/2023 22:04,4.88,93.46,21333838,MAM,EXT
1,1/06/2023 23:34,4.29,93.65,21333838,MAM,EXT
1,2/06/2023 1:04,3.71,94.31,21333838,MAM,EXT
1,2/06/2023 2:34,3.3,94.89,21333838,MAM,EXT
1,2/06/2023 4:04,4.16,95.13,21333838,MAM,EXT
1,2/06/2023 5:34,4,94.76,21333838,MAM,EXT
1,2/06/2023 7:04,3.54,95.3,21333838,MAM,EXT
1,2/06/2023 8:34,5.72,96.37,21333838,MAM,EXT
1,2/06/2023 10:04,9.52,97.98,21333838,MAM,EXT
1,2/06/2023 11:34,14.81,69.82,21333838,MAM,EXT
1,2/06/2023 13:04,16.64,58.63,21333838,MAM,EXT
1,2/06/2023 14:34,15.62,65.01,21333838,MAM,EXT
1,2/06/2023 16:04,11.2,83.67,21333838,MAM,EXT
1,2/06/2023 17:34,10.89,88.37,21333838,MAM,EXT
1,2/06/2023 19:04,10.19,90.24,21333838,MAM,EXT
1,2/06/2023 20:34,8.27,92.1,21333838,MAM,EXT
1,2/06/2023 22:04,7.59,93.76,21333838,MAM,EXT
1,2/06/2023 23:34,7.86,93.44,21333838,MAM,EXT
1,3/06/2023 1:04,7.71,93.66,21333838,MAM,EXT
1,3/06/2023 2:34,7.28,94.26,21333838,MAM,EXT
1,3/06/2023 4:04,6.02,95.12,21333838,MAM,EXT
1,3/06/2023 5:34,5.33,95.91,21333838,MAM,EXT
1,3/06/2023 7:04,4.84,96.43,21333838,MAM,EXT
1,3/06/2023 8:34,7.1,97.12,21333838,MAM,EXT
1,3/06/2023 10:04,13.79,72.08,21333838,MAM,EXT
1,3/06/2023 11:34,15.78,66.43,21333838,MAM,EXT
1,3/06/2023 13:04,16.96,57.79,21333838,MAM,EXT
1,3/06/2023 14:34,16.21,58.59,21333838,MAM,EXT
1,3/06/2023 16:04,13.09,79.52,21333838,MAM,EXT
1,3/06/2023 17:34,10.75,88.21,21333838,MAM,EXT
1,3/06/2023 19:04,9.76,90.54,21333838,MAM,EXT
1,3/06/2023 20:34,10.36,90.5,21333838,MAM,EXT
1,3/06/2023 22:04,10.67,88.97,21333838,MAM,EXT
1,3/06/2023 23:34,10.85,91.94,21333838,MAM,EXT
1,4/06/2023 1:04,10.66,96.94,21333838,MAM,EXT
1,4/06/2023 2:34,10.58,97.31,21333838,MAM,EXT
1,4/06/2023 4:04,10.23,97.09,21333838,MAM,EXT
1,4/06/2023 5:34,9.86,97.34,21333838,MAM,EXT
1,4/06/2023 7:04,9.64,97.1,21333838,MAM,EXT
1,4/06/2023 8:34,9.65,94.94,21333838,MAM,EXT
1,4/06/2023 10:04,9.92,94.89,21333838,MAM,EXT
1,4/06/2023 11:34,9.89,95.04,21333838,MAM,EXT
1,4/06/2023 13:04,10.22,94.38,21333838,MAM,EXT
1,4/06/2023 14:34,9.83,96.83,21333838,MAM,EXT
1,4/06/2023 16:04,9.41,97.65,21333838,MAM,EXT
1,4/06/2023 17:34,9.15,97.41,21333838,MAM,EXT
1,4/06/2023 19:04,8.68,98.43,21333838,MAM,EXT
1,4/06/2023 20:34,8.42,97.02,21333838,MAM,EXT
1,4/06/2023 22:04,8.16,98.39,21333838,MAM,EXT
1,4/06/2023 23:34,7.72,97.73,21333838,MAM,EXT
1,5/06/2023 1:04,7.29,98.19,21333838,MAM,EXT
1,5/06/2023 2:34,7.23,97.48,21333838,MAM,EXT
1,5/06/2023 4:04,7.19,97.45,21333838,MAM,EXT
1,5/06/2023 5:34,7.41,97.73,21333838,MAM,EXT
1,5/06/2023 7:04,7.35,97.7,21333838,MAM,EXT
1,5/06/2023 8:34,7.69,97.89,21333838,MAM,EXT
1,5/06/2023 10:04,8.65,93.08,21333838,MAM,EXT
1,5/06/2023 11:34,9.09,94.63,21333838,MAM,EXT
1,5/06/2023 13:04,9.35,96.36,21333838,MAM,EXT
1,5/06/2023 14:34,9.92,93.74,21333838,MAM,EXT
1,5/06/2023 16:04,9.27,98.07,21333838,MAM,EXT
1,5/06/2023 17:34,8.92,98.69,21333838,MAM,EXT
1,5/06/2023 19:04,8.72,99.17,21333838,MAM,EXT
1,5/06/2023 20:34,8.36,99.24,21333838,MAM,EXT
1,5/06/2023 22:04,8.23,99.28,21333838,MAM,EXT
1,5/06/2023 23:34,8.18,99.45,21333838,MAM,EXT
1,6/06/2023 1:04,8.23,99.5,21333838,MAM,EXT
1,6/06/2023 2:34,8.29,99.65,21333838,MAM,EXT
1,6/06/2023 4:04,8.27,99.66,21333838,MAM,EXT
1,6/06/2023 5:34,8.23,99.75,21333838,MAM,EXT
1,6/06/2023 7:04,8.21,99.84,21333838,MAM,EXT
1,6/06/2023 8:34,8.82,99.81,21333838,MAM,EXT
1,6/06/2023 10:04,10.2,98.1,21333838,MAM,EXT
1,6/06/2023 11:34,11.13,95.16,21333838,MAM,EXT
1,6/06/2023 13:04,12.15,89.34,21333838,MAM,EXT
1,6/06/2023 14:34,12,92.49,21333838,MAM,EXT
1,6/06/2023 16:04,11.03,96.28,21333838,MAM,EXT
1,6/06/2023 17:34,9.38,98.69,21333838,MAM,EXT
1,6/06/2023 19:04,9.69,98.88,21333838,MAM,EXT
1,6/06/2023 20:34,9.9,99.17,21333838,MAM,EXT
1,6/06/2023 22:04,9.97,99.26,21333838,MAM,EXT
1,6/06/2023 23:34,9.96,99.38,21333838,MAM,EXT
1,7/06/2023 1:04,9.6,97.31,21333838,MAM,EXT
1,7/06/2023 2:34,8.64,96.18,21333838,MAM,EXT
1,7/06/2023 4:04,6.97,97.81,21333838,MAM,EXT
1,7/06/2023 5:34,5.32,97.9,21333838,MAM,EXT
1,7/06/2023 7:04,4.38,97.96,21333838,MAM,EXT
1,7/06/2023 8:34,4.79,99.1,21333838,MAM,EXT
1,7/06/2023 10:04,6.49,100,21333838,MAM,EXT
1,7/06/2023 11:34,13.93,87,21333838,MAM,EXT
1,7/06/2023 13:04,15.57,77.57,21333838,MAM,EXT
1,7/06/2023 14:34,14.44,84.67,21333838,MAM,EXT
1,7/06/2023 16:04,11.08,94.84,21333838,MAM,EXT
1,7/06/2023 17:34,8.96,97.25,21333838,MAM,EXT
1,7/06/2023 19:04,7.48,98.36,21333838,MAM,EXT
1,7/06/2023 20:34,6.45,98.13,21333838,MAM,EXT
1,7/06/2023 22:04,5.7,99.05,21333838,MAM,EXT
1,7/06/2023 23:34,5.08,98.34,21333838,MAM,EXT
1,8/06/2023 1:04,4.46,99.24,21333838,MAM,EXT
1,8/06/2023 2:34,4.02,99.42,21333838,MAM,EXT
1,8/06/2023 4:04,4.97,99.95,21333838,MAM,EXT
1,8/06/2023 5:34,10.5,91.14,21333838,MAM,EXT
1,8/06/2023 7:04,12.41,82.88,21333838,MAM,EXT
1,8/06/2023 8:34,12.64,80.25,21333838,MAM,EXT
1,8/06/2023 10:04,12.72,81.48,21333838,MAM,EXT
1,8/06/2023 11:34,11.58,93.41,21333838,MAM,EXT
1,8/06/2023 13:04,11.03,92.87,21333838,MAM,EXT
1,8/06/2023 14:34,9.79,93.35,21333838,MAM,EXT
1,8/06/2023 16:04,10.46,88.39,21333838,MAM,EXT
1,8/06/2023 17:34,8.73,90.66,21333838,MAM,EXT
1,8/06/2023 19:04,7.45,91.72,21333838,MAM,EXT
1,8/06/2023 20:34,6.7,94.15,21333838,MAM,EXT
